method,name,period,distance
Transit Timing Variations,KOI-142 c,22.3395,339
Transit Timing Variations,Kepler-419 c,675.47,872
Transit Timing Variations,Kepler-417 c,15.943,981
Transit Timing Variations,Kepler-417 b,12.331,981
Transit Timing Variations,Kepler-416 c,12.209,711
Transit Timing Variations,Kepler-416 b,6.319,711
Transit Timing Variations,Kepler-415 c,8.708,617
Transit Timing Variations,Kepler-415 b,4.176,617
Transit Timing Variations,Kepler-414 c,7.171,440
Transit Timing Variations,Kepler-414 b,4.7,440
Transit Timing Variations,Kepler-338 e,9.341,568
Transit Timing Variations,Kepler-122 f,56.268,946
Transit Timing Variations,Kepler-46 c,57.011,855
Transit Timing Variations,Kepler-37 e,51.196,66
Transit Timing Variations,Kepler-19 c,28.731,2119
Transit,XO-6 b,3.7650007,232.72
Transit,XO-5 b,4.1877558,260
Transit,XO-4 b,4.12508,293
Transit,XO-3 b,3.19154,174
Transit,XO-2 N b,2.61585922,145.5
Transit,XO-1 b,3.94153,172
Transit,WTS-2 b,1.0187068,1000
Transit,WTS-1 b,3.352057,3200
Transit,WASP-167 b,2.0219596,381
Transit,WASP-156 b,3.836169,140
Transit,WASP-153 b,3.332609,430
Transit,WASP-142 b,2.052868,840
Transit,WASP-141 b,3.310651,570
Transit,WASP-140 b,2.2359835,180
Transit,WASP-139 b,5.924262,230
Transit,WASP-138 b,3.634433,308
Transit,WASP-136 b,5.215357,164
Transit,WASP-135 b,1.4013794,300
Transit,WASP-133 b,2.176423,547
Transit,WASP-132 b,7.133521,120
Transit,WASP-131 b,5.322023,250
Transit,WASP-130 b,11.55098,180
Transit,WASP-129 b,5.748145,246
Transit,WASP-127 b,4.178062,102
Transit,WASP-126 b,3.2888,234
Transit,WASP-124 b,3.37265,433
Transit,WASP-123 b,2.9776412,214
Transit,WASP-121 b,1.2749255,270
Transit,WASP-120 b,3.6112706,437
Transit,WASP-119 b,2.49979,333
Transit,WASP-117 b,10.02165,156.37
