method,method_index,name,period,distance
Astrometry,0,DENIS-P J082303.1-491201 b,246,21
Eclipse Timing Variations,1,NN Ser c,5,574,500
Eclipse Timing Variations,1,NN Ser d,2,884,500
Imaging,2,2MASS J21402931+1625183 A b,7,337,25
Imaging,2,bet Pic b,7,665,19
Imaging,2,CFBDSIR J145829+101343 b,10,038,23
Imaging,2,Fomalhaut b,555,530,8
Imaging,2,HR 8799 b,170,000,39
Imaging,2,HR 8799 c,69,000,39
Imaging,2,HR 8799 d,37,000,39
Imaging,2,HR 8799 e,18,000,39
Imaging,2,Oph 11 b,7,300,000,125
Microlensing,3,MOA-2009-BLG-266L b,2,774,3,040
Microlensing,3,MOA-2009-BLG-387L b,1,982,5,690
Microlensing,3,OGLE-2005-BLG-390L b,3,285,6,600
Microlensing,3,OGLE-2006-BLG-109L b,1,789,1,510
Microlensing,3,OGLE-2006-BLG-109L c,4,928,1,510
Microlensing,3,OGLE-2007-BLG-349L AB c,2,557,2,760
Microlensing,3,OGLE-2016-BLG-1190L b,1,224,6,770
Orbital Brightness Modulation,4,Kepler-76 b,2,844
Orbital Brightness Modulation,4,KOI-55 b,0,1,180
Orbital Brightness Modulation,4,KOI-55 c,0,1,180
Pulsar Timing,5,PSR B1257+12 b,25,600
Pulsar Timing,5,PSR B1257+12 c,67,600
Pulsar Timing,5,PSR B1257+12 d,98,600
Pulsar Timing,5,PSR J1719-1438 b,0,1,200
Pulsar Timing,5,PSR J2322-2650 b,0,230
Pulsation Timing Variations,6,V0391 Peg b,1,170,1,400
Radial Velocity,7,4 UMa b,269,77
Radial Velocity,7,6 Lyn b,875,57
Radial Velocity,7,7 CMa b,796,20
Radial Velocity,7,8 UMi b,93,159
Radial Velocity,7,11 Com b,326,111
Radial Velocity,7,11 UMi b,516,119
Radial Velocity,7,14 And b,186,76
Radial Velocity,7,14 Her b,1,773,18
Radial Velocity,7,16 Cyg B b,799,21
Radial Velocity,7,18 Del b,993,73
Radial Velocity,7,24 Boo b,30,98
Radial Velocity,7,24 Sex b,453,75
Radial Velocity,7,24 Sex c,883,75
Radial Velocity,7,30 Ari B b,335,39
Radial Velocity,7,42 Dra b,479,97
Radial Velocity,7,47 UMa b,1,078,14
Radial Velocity,7,47 UMa c,2,391,14
Radial Velocity,7,47 UMa d,14,002,14
Radial Velocity,7,51 Peg b,4,15
Radial Velocity,7,55 Cnc b,15,13
Radial Velocity,7,55 Cnc c,44,13
Radial Velocity,7,55 Cnc d,4,825,13
Radial Velocity,7,55 Cnc e,1,13
Radial Velocity,7,55 Cnc f,262,13
Radial Velocity,7,61 Vir b,4,9
Radial Velocity,7,61 Vir c,38,9
Radial Velocity,7,61 Vir d,123,9
Radial Velocity,7,70 Vir b,117,18
Radial Velocity,7,75 Cet b,692,82
Radial Velocity,7,81 Cet b,953,97
Radial Velocity,7,91 Aqr b,181,46
Radial Velocity,7,alf Ari b,381,20
Radial Velocity,7,alf Tau b,629,20
Radial Velocity,7,BD-06 1339 b,4,20
Radial Velocity,7,BD-06 1339 c,126,20
Radial Velocity,7,BD-08 2823 b,6,42
Radial Velocity,7,BD-08 2823 c,238,42
Radial Velocity,7,BD-10 3166 b,3,80
Radial Velocity,7,BD-11 4672 b,1,667,27
Radial Velocity,7,BD-13 2130 b,714,766
Radial Velocity,7,BD-17 63 b,656,38
Radial Velocity,7,BD+03 2562 b,482,2,618
Radial Velocity,7,BD+14 4559 b,269,50
Radial Velocity,7,BD+15 2375 b,153,774
Radial Velocity,7,BD+15 2940 b,137,175
Radial Velocity,7,BD+20 274 b,578,1,084
Radial Velocity,7,BD+20 2457 b,380,200
Radial Velocity,7,BD+20 2457 c,622,200
Radial Velocity,7,BD+48 740 b,733,752
Radial Velocity,7,BD+49 828 b,2,590,408
Radial Velocity,7,bet Cnc b,605,89
Radial Velocity,7,bet UMi b,522,39
Radial Velocity,7,CoRoT-7 c,4,154
Radial Velocity,7,eps CrB b,418,70
Radial Velocity,7,eps Eri b,2,502,3
Radial Velocity,7,eps Tau b,595,48
Radial Velocity,7,gam 1 Leo b,429,39
Radial Velocity,7,gam Cep b,903,14
Radial Velocity,7,gam Lib b,415,47
Radial Velocity,7,gam Lib c,965,47
Radial Velocity,7,GJ 86 b,16,11
Radial Velocity,7,GJ 163 b,9,15
Radial Velocity,7,GJ 163 c,26,15
Radial Velocity,7,GJ 163 d,604,15
Radial Velocity,7,GJ 179 b,2,288,12
Radial Velocity,7,GJ 273 b,19,4
Radial Velocity,7,GJ 273 c,5,4
Radial Velocity,7,GJ 317 b,692,15
Radial Velocity,7,GJ 328 b,4,100,20
Radial Velocity,7,GJ 433 b,7,9
Radial Velocity,7,GJ 436 b,3,10
Radial Velocity,7,GJ 536 b,9,10
Radial Velocity,7,GJ 581 b,5,6
Radial Velocity,7,GJ 581 c,13,6
Radial Velocity,7,GJ 581 e,3,6
Radial Velocity,7,GJ 625 b,15,6
Radial Velocity,7,GJ 649 b,598,10
Radial Velocity,7,GJ 667 C b,7,7
Radial Velocity,7,GJ 667 C c,28,7
Radial Velocity,7,GJ 667 C e,62,7
Radial Velocity,7,GJ 667 C f,39,7
Radial Velocity,7,GJ 667 C g,256,7
Radial Velocity,7,GJ 674 b,5,5
Radial Velocity,7,GJ 676 A b,1,057,17
Radial Velocity,7,GJ 676 A c,7,337,17
Radial Velocity,7,GJ 676 A d,4,17
Radial Velocity,7,GJ 676 A e,35,17
Radial Velocity,7,GJ 687 b,38,5
Radial Velocity,7,GJ 832 b,3,657,5
Radial Velocity,7,GJ 832 c,36,5
Radial Velocity,7,GJ 849 b,1,882,9
Radial Velocity,7,GJ 876 b,61,5
Radial Velocity,7,GJ 876 c,30,5
Radial Velocity,7,GJ 876 d,2,5
Radial Velocity,7,GJ 876 e,124,5
Radial Velocity,7,GJ 1148 b,41,11
Radial Velocity,7,GJ 1148 c,533,11
Radial Velocity,7,GJ 3021 b,134,18
Radial Velocity,7,GJ 3138 b,1,28
Radial Velocity,7,GJ 3138 c,6,28
Radial Velocity,7,GJ 3138 d,258,28
Radial Velocity,7,GJ 3293 b,31,16
Radial Velocity,7,GJ 3293 c,123,16
Radial Velocity,7,GJ 3293 d,48,16
Radial Velocity,7,GJ 3293 e,13,16
Radial Velocity,7,GJ 3323 b,5,5
Radial Velocity,7,GJ 3323 c,41,5
Radial Velocity,7,GJ 3341 b,14,23
Radial Velocity,7,GJ 3470 b,3,25
Radial Velocity,7,GJ 3634 b,3,20
Radial Velocity,7,GJ 3942 b,7,17
Radial Velocity,7,GJ 3998 b,3,18
Radial Velocity,7,GJ 3998 c,14,18
Radial Velocity,7,HAT-P-13 c,446,214
Radial Velocity,7,HAT-P-17 c,5,584,90
Radial Velocity,7,HAT-P-44 c,872,363
Radial Velocity,7,HD 142 b,350,26
Radial Velocity,7,HD 142 c,6,005,26
Radial Velocity,7,HD 564 b,492,54
Radial Velocity,7,HD 1461 b,6,23
Radial Velocity,7,HD 1461 c,14,23
Radial Velocity,7,HD 1502 b,432,168
Radial Velocity,7,HD 1605 b,578,85
Radial Velocity,7,HD 1605 c,2,111,85
Radial Velocity,7,HD 1666 b,270,111
Radial Velocity,7,HD 1690 b,533,7
Radial Velocity,7,HD 2039 b,1,120,90
Radial Velocity,7,HD 2638 b,3,54
Radial Velocity,7,HD 2952 b,312,115
Radial Velocity,7,HD 3167 d,9,46
Radial Velocity,7,HD 3651 b,62,11
Radial Velocity,7,HD 4113 b,527,44
Radial Velocity,7,HD 4203 b,432,78
Radial Velocity,7,HD 4203 c,6,700,78
Radial Velocity,7,HD 4208 b,828,33
Radial Velocity,7,HD 4308 b,16,22
Radial Velocity,7,HD 4313 b,356,131
Radial Velocity,7,HD 4732 b,360,57
Radial Velocity,7,HD 4732 c,2,732,57
Radial Velocity,7,HD 5319 b,641,114
Radial Velocity,7,HD 5319 c,886,114
Radial Velocity,7,HD 5583 b,139,221
Radial Velocity,7,HD 5608 b,793,58
Radial Velocity,7,HD 5891 b,177,151
Radial Velocity,7,HD 6434 b,22,40
Radial Velocity,7,HD 6718 b,2,496,55
Radial Velocity,7,HD 7199 b,615,36
Radial Velocity,7,HD 7449 b,1,275,39
Radial Velocity,7,HD 7924 b,5,17
Radial Velocity,7,HD 7924 c,15,17
Radial Velocity,7,HD 7924 d,24,17
Radial Velocity,7,HD 8535 b,1,313,53
Radial Velocity,7,HD 8574 b,227,44
Radial Velocity,7,HD 8673 b,1,634,38
Radial Velocity,7,HD 9174 b,1,179,79
Radial Velocity,7,HD 9446 b,30,53
Radial Velocity,7,HD 9446 c,193,53
Radial Velocity,7,HD 10180 c,6,39
Radial Velocity,7,HD 10180 d,16,39
Radial Velocity,7,HD 10180 e,50,39
Radial Velocity,7,HD 10180 f,123,39
Radial Velocity,7,HD 10180 g,605,39
Radial Velocity,7,HD 10180 h,2,205,39
Radial Velocity,7,HD 10442 b,1,043,130
Radial Velocity,7,HD 10647 b,989,17
Radial Velocity,7,HD 10697 b,1,075,33
Radial Velocity,7,HD 11506 b,1,405,52
Radial Velocity,7,HD 11506 c,224,52
Radial Velocity,7,HD 11755 b,434,232
Radial Velocity,7,HD 11964 b,1,945,34
Radial Velocity,7,HD 11964 c,38,34
Radial Velocity,7,HD 11977 b,711,66
Radial Velocity,7,HD 12484 b,59,51
Radial Velocity,7,HD 12648 b,134,158
Radial Velocity,7,HD 12661 b,263,37
Radial Velocity,7,HD 12661 c,1,708,37
Radial Velocity,7,HD 13189 b,472,300
Radial Velocity,7,HD 13908 b,19,67
Radial Velocity,7,HD 13908 c,931,67
Radial Velocity,7,HD 13931 b,4,218,46
Radial Velocity,7,HD 14067 b,1,455,163
Radial Velocity,7,HD 16141 b,76,36
Radial Velocity,7,HD 16175 b,990,60
Radial Velocity,7,HD 16417 b,17,26
Radial Velocity,7,HD 17092 b,360,225
Radial Velocity,7,HD 17156 b,21,75
Radial Velocity,7,HD 17674 b,624,45
Radial Velocity,7,HD 18742 b,772,128
Radial Velocity,7,HD 19994 b,466,22
Radial Velocity,7,HD 20782 b,592,36
Radial Velocity,7,HD 20794 b,18,6
Radial Velocity,7,HD 20794 c,40,6
Radial Velocity,7,HD 20794 d,90,6
Radial Velocity,7,HD 20794 e,147,6
