method,year,count
Astrometry,2013,1
Eclipse Timing Variations,2017,1
Eclipse Timing Variations,2015,1
Eclipse Timing Variations,2012,1
Eclipse Timing Variations,2011,3
Eclipse Timing Variations,2010,2
Eclipse Timing Variations,2009,1
Imaging,2017,1
Imaging,2016,2
Imaging,2015,5
Imaging,2014,2
Imaging,2013,6
Imaging,2012,2
Imaging,2011,2
Imaging,2010,6
Imaging,2009,1
Imaging,2008,8
Imaging,2007,1
Imaging,2006,4
Imaging,2005,1
Imaging,2004,3
Microlensing,2018,7
Microlensing,2017,9
Microlensing,2016,10
Microlensing,2015,4
Microlensing,2014,5
Microlensing,2013,5
Microlensing,2012,7
Microlensing,2011,1
Microlensing,2010,2
Microlensing,2009,2
Microlensing,2008,4
Microlensing,2006,1
Microlensing,2005,2
Microlensing,2004,1
Orbital Brightness Modulation,2014,3
Orbital Brightness Modulation,2013,1
Orbital Brightness Modulation,2011,2
Pulsar Timing,2017,1
Pulsar Timing,2011,1
Pulsar Timing,2003,1
Pulsar Timing,1994,1
Pulsar Timing,1992,2
Pulsation Timing Variations,2016,1
Pulsation Timing Variations,2007,1
Radial Velocity,2018,11
Radial Velocity,2017,48
Radial Velocity,2016,49
Radial Velocity,2015,47
Radial Velocity,2014,40
Radial Velocity,2013,32
Radial Velocity,2012,34
Radial Velocity,2011,47
Radial Velocity,2010,41
Radial Velocity,2009,73
Radial Velocity,2008,38
Radial Velocity,2007,35
Radial Velocity,2006,21
Radial Velocity,2005,33
Radial Velocity,2004,18
Radial Velocity,2003,22
Radial Velocity,2002,28
Radial Velocity,2001,12
Radial Velocity,2000,16
Radial Velocity,1999,13
Radial Velocity,1998,6
Radial Velocity,1997,1
Radial Velocity,1996,6
Radial Velocity,1995,1
Radial Velocity,1989,1
Transit,2018,133
Transit,2017,89
Transit,2016,1442
Transit,2015,100
Transit,2014,798
Transit,2013,78
Transit,2012,92
Transit,2011,79
Transit,2010,46
Transit,2009,18
Transit,2008,17
Transit,2007,16
Transit,2006,5
Transit,2004,5
Transit,2002,1
Transit Timing Variations,2014,12
Transit Timing Variations,2013,1
Transit Timing Variations,2012,1
Transit Timing Variations,2011,1
