name,mass,method
DENIS-P J082303.1-491201 b,28.5,Astrometry
2MASS J19383260+4603591 b,1.9,Eclipse Timing Variations
DP Leo b,6.05,Eclipse Timing Variations
UZ For b,6.3,Eclipse Timing Variations
NN Ser c,7.33,Eclipse Timing Variations
UZ For c,7.7,Eclipse Timing Variations
NN Ser d,2.3,Eclipse Timing Variations
RR Cae b,4.2,Eclipse Timing Variations
1RXS J160929.1-210524 b,8,Imaging
2MASS J01225093-2439505 b,24.5,Imaging
2MASS J02192210-3925225 b,13.9,Imaging
2MASS J21402931+1625183 A b,20.95,Imaging
2MASS J22362452+4751425 b,12.5,Imaging
CHXR 73 b,12.569,Imaging
DH Tau b,11,Imaging
GJ 504 b,4,Imaging
GQ Lup b,20,Imaging
GSC 06214-00210 b,16,Imaging
GU Psc b,11.3,Imaging
HN Peg b,21.9987,Imaging
HR 2562 b,30,Imaging
ROXs 42 B b,9,Imaging
ROXs 12 b,16,Imaging
WD 0806-661 b,7.5,Imaging
VHS J125601.92-125723.9 b,11.2,Imaging
Ross 458 c,6.28536,Imaging
OGLE-2005-BLG-071L b,3.8,Microlensing
OGLE-2011-BLG-0251L b,0.53,Microlensing
MOA-2010-BLG-328L b,0.02895,Microlensing
MOA-2010-BLG-353L b,0.27,Microlensing
OGLE-2012-BLG-0563L b,0.39,Microlensing
OGLE-2014-BLG-0676L b,3.09,Microlensing
OGLE-2015-BLG-0051L b,0.72,Microlensing
OGLE-2015-BLG-0954L b,3.9,Microlensing
OGLE-2012-BLG-0950L b,0.11012,Microlensing
OGLE-2014-BLG-1760L b,0.56,Microlensing
MOA-2012-BLG-505L b,0.02108,Microlensing
MOA-2012-BLG-006L b,8.4,Microlensing
OGLE-2013-BLG-0132L b,0.29,Microlensing
OGLE-2013-BLG-1721L b,0.64,Microlensing
OGLE-2016-BLG-0263L b,4.1,Microlensing
OGLE-2016-BLG-1195L b,0.0045,Microlensing
OGLE-2017-BLG-0373L b,0.401,Microlensing
OGLE-2017-BLG-1434L b,0.014,Microlensing
TCP J05074264+2447555 b,0.02895,Microlensing
UKIRT-2017-BLG-001L b,1.28,Microlensing
MOA-bin-1L b,3.7,Microlensing
OGLE-2003-BLG-235L b,2.6,Microlensing
OGLE-2008-BLG-092L b,0.18,Microlensing
OGLE-2008-BLG-355L b,4.6,Microlensing
MOA-2008-BLG-379L b,4.1,Microlensing
MOA-2011-BLG-322L b,11.6,Microlensing
OGLE-2014-BLG-0124L b,0.51,Microlensing
MOA-2011-BLG-293L b,4.8,Microlensing
OGLE-2013-BLG-0102L b,12.569,Microlensing
MOA-2011-BLG-028L b,0.09439,Microlensing
OGLE-2005-BLG-390L b,0.017,Microlensing
OGLE-2012-BLG-0724L b,0.47,Microlensing
MOA-2007-BLG-400L b,0.83,Microlensing
MOA-2008-BLG-310L b,0.07362,Microlensing
OGLE-2011-BLG-0265L b,0.88,Microlensing
MOA-2011-BLG-262L b,0.05663,Microlensing
OGLE-2013-BLG-0341L B b,0.0073,Microlensing
OGLE-2012-BLG-0406L b,2.73,Microlensing
OGLE-2015-BLG-0966L b,0.06607,Microlensing
MOA-2009-BLG-387L b,2.56,Microlensing
MOA-2009-BLG-266L b,0.033,Microlensing
MOA-2010-BLG-477L b,1.5,Microlensing
MOA-2010-BLG-073L b,11,Microlensing
MOA-2009-BLG-319L b,0.16,Microlensing
OGLE-2012-BLG-0026L b,0.145,Microlensing
OGLE-2006-BLG-109L b,0.73,Microlensing
OGLE-2012-BLG-0026L c,0.86,Microlensing
OGLE-2006-BLG-109L c,0.27,Microlensing
MOA-2016-BLG-227L b,2.8,Microlensing
MOA-2010-BLG-117L b,0.54,Microlensing
OGLE-2017-BLG-0173L b,0.01029,Microlensing
OGLE-2016-BLG-1190L b,13.38,Microlensing
OGLE-2005-BLG-169L b,0.04436,Microlensing
OGLE-2007-BLG-368L b,0.06,Microlensing
OGLE-2016-BLG-0613L AB b,4.18,Microlensing
OGLE-2007-BLG-349L AB c,0.25171,Microlensing
KOI-55 b,0.0014,Orbital Brightness Modulation
KOI-55 c,0.0021,Orbital Brightness Modulation
Kepler-76 b,2.01,Orbital Brightness Modulation
PSR B1620-26 b,2.5,Pulsar Timing
V0391 Peg b,3.2,Pulsation Timing Variations
14 Her b,4.66,Radial Velocity
16 Cyg B b,1.78,Radial Velocity
24 Boo b,0.91,Radial Velocity
4 UMa b,7.1,Radial Velocity
42 Dra b,3.88,Radial Velocity
47 UMa b,2.53,Radial Velocity
47 UMa c,0.54,Radial Velocity
47 UMa d,1.64,Radial Velocity
51 Peg b,0.472,Radial Velocity
55 Cnc b,0.8306,Radial Velocity
55 Cnc c,0.1714,Radial Velocity
55 Cnc d,3.878,Radial Velocity
55 Cnc e,0.02542,Radial Velocity
55 Cnc f,0.141,Radial Velocity
61 Vir b,0.016,Radial Velocity
61 Vir c,0.057,Radial Velocity
61 Vir d,0.072,Radial Velocity
70 Vir b,7.62,Radial Velocity
BD+03 2562 b,6.4,Radial Velocity
